,Unnamed: 0,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
4616,32993,33066,Text,2010-07-03,The Garden of Eden,en,"Brand, Max, 1892-1944",Horses -- Fiction; Western stories; Religion -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/6/33066/33066.txt
4617,33018,33091,Text,2010-07-05,"A Volunteer with Pike
The True Narrative of One Dr. John Robinson and of His Love for the Fair Señorita Vallois",en,"Bennet, Robert Ames, 1870-1954; Weber-Ditzler, Charlotte, 1877-1958 [Illustrator]","Pike, Zebulon Montgomery, 1779-1813 -- Fiction",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/9/33091/33091.txt
4618,33026,33099,Text,2010-07-07,The Truth About Tristrem Varick: A Novel,en,"Saltus, Edgar, 1855-1921",Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/0/9/33099/33099.txt
4619,33028,33101,Text,2010-07-06,The Shadow,en,"Ovington, Mary White, 1865-1951",African Americans -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/0/33101/33101.txt
4620,33044,33117,Text,2010-07-08,Thirty,en,"O'Brien, Howard Vincent, 1888-1947; Amick, Robert Wesley, 1879-1969 [Illustrator]",Rich people -- Fiction; Social classes -- Fiction; Man-woman relationships -- Fiction; Journalists -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/1/33117/33117.txt
4621,33045,33118,Text,2010-07-08,Just Around the Corner: Romance en casserole,en,"Hurst, Fannie, 1889-1968",Short stories; New York (N.Y.) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/1/33118/33118.txt
4622,33050,33123,Text,2010-07-09,"A Transient Guest, and Other Episodes",en,"Saltus, Edgar, 1855-1921",Fiction; Short stories,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/2/33123/33123.txt
4623,33070,33143,Text,2010-07-12,East Angels: A Novel,en,"Woolson, Constance Fenimore, 1840-1894",Married women -- Fiction; Triangles (Interpersonal relations) -- Fiction; Florida -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/4/33143/33143.txt
4624,33072,33145,Text,2010-07-13,Come Out of the Kitchen! A Romance,en,"Miller, Alice Duer, 1874-1942; Meylan, Paul Julian, 1882-1961 [Illustrator]",Southern States -- Social life and customs -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/4/33145/33145.txt
4625,33094,33167,Text,2010-07-15,"Flora Lyndsay; or, Passages in an Eventful Life, Vol. II.",en,"Moodie, Susanna, 1803-1885",Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/6/33167/33167.txt
4626,33114,33187,Text,2010-07-16,By Right of Conquest: A Novel,en,"Hornblow, Arthur, 1865-1942; Grunwald, Charles [Illustrator]; Gunn, Archie, 1863-1930 [Illustrator]",Shipwreck survival -- Fiction; Social classes -- Fiction; Man-woman relationships -- Fiction; Castaways -- Fiction; Robinsonades,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/8/33187/33187.txt
4627,33119,33192,Text,2010-07-17,John Marsh's Millions,en,"Hornblow, Arthur, 1865-1942; Klein, Charles, 1867-1915; Cahan, Samuel George, 1886-1974 [Illustrator]",Inheritance and succession -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/9/33192/33192.txt
4628,33122,33195,Text,2010-07-18,Was It Right to Forgive? A Domestic Romance,en,"Barr, Amelia E., 1831-1919",Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/1/9/33195/33195.txt
4629,33134,33207,Text,2010-07-20,The Perfume of Eros: A Fifth Avenue Incident,en,"Saltus, Edgar, 1855-1921",New York (N.Y.) -- Fiction; Man-woman relationships -- Fiction; Trials (Murder) -- Fiction; Murder -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/0/33207/33207.txt
4630,33136,33209,Text,2010-07-20,The Dual Alliance,en,"Cooke, Marjorie Benton, 1876-1920; Blumenschein, Mary Shepard Greene, 1869-1958 [Illustrator]",Political fiction; Marriage -- Fiction; Actresses -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/0/33209/33209.txt
4631,33145,33218,Text,2010-07-21,A Top-Floor Idyl,en,"Van Schaick, George, 1861-1924; Emerson, Chase [Illustrator]",Love stories; Widows -- Fiction; Boardinghouses -- Fiction; Novelists -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/1/33218/33218.txt
4632,33147,33220,Text,2010-07-22,First Fam'lies of the Sierras,en,"Miller, Joaquin, 1837-1913",Danites (Mormon Church) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/2/33220/33220.txt
4633,33155,33228,Text,2010-07-22,A Master Hand: The Story of a Crime,en,"Dallas, Richard",New York (N.Y.) -- Fiction; Detective and mystery stories; Murder -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/2/33228/33228.txt
4634,33157,33230,Text,2010-07-22,The Gray Mask,en,"Camp, Wadsworth, 1879-1936; De Maris, Walter [Illustrator]",Detective and mystery stories; Adventure stories; Detectives -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/3/33230/33230.txt
4635,33161,33234,Text,2010-07-23,Shadows of Flames: A Novel,en,"Rives, Amélie, 1863-1945; Dewey, Alfred James, 1874-1958 [Illustrator]",Women -- Fiction; Mothers and sons -- Fiction; Marriage -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/3/33234/33234.txt
4636,33178,33251,Text,2010-07-24,Hempfield: A Novel,en,"Grayson, David, 1870-1946; Fogarty, Thomas, 1873-1938 [Illustrator]",City and town life -- Fiction; Newspapers -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/5/33251/33251.txt
4637,33186,33259,Text,2010-07-25,The Day of His Youth,en,"Brown, Alice, 1857-1948",Fathers and sons -- Fiction; Young men -- Fiction; Man-woman relationships -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/3/3/2/5/33259/33259.txt
